block,bid_price_eur_mwh,P_accept
00-04,0.69,0.9972602739726028
00-04,0.78,0.9945205479452055
00-04,0.79,0.9917808219178083
00-04,0.8,0.989041095890411
00-04,1.0,0.9863013698630136
00-04,1.0,0.9835616438356164
00-04,1.01,0.9808219178082191
00-04,1.08,0.9780821917808219
00-04,1.09,0.9753424657534246
00-04,1.19,0.9726027397260274
00-04,1.4,0.9698630136986301
00-04,1.5,0.9671232876712329
00-04,1.5,0.9643835616438357
00-04,1.52,0.9616438356164384
00-04,1.53,0.9589041095890412
00-04,1.56,0.9561643835616438
00-04,1.58,0.9534246575342465
00-04,1.6,0.9506849315068493
00-04,1.7,0.947945205479452
00-04,1.74,0.9452054794520548
00-04,1.77,0.9424657534246575
00-04,1.78,0.9397260273972603
00-04,1.8,0.936986301369863
00-04,1.88,0.9342465753424658
00-04,1.9,0.9315068493150684
00-04,1.9,0.9287671232876712
00-04,1.9,0.9260273972602739
00-04,1.9,0.9232876712328767
00-04,1.9,0.9205479452054794
00-04,1.94,0.9178082191780822
00-04,1.95,0.915068493150685
00-04,1.95,0.9123287671232877
00-04,1.95,0.9095890410958904
00-04,1.96,0.9068493150684931
00-04,2.0,0.904109589041096
00-04,2.0,0.9013698630136986
00-04,2.02,0.8986301369863013
00-04,2.04,0.8958904109589041
00-04,2.05,0.8931506849315068
00-04,2.06,0.8904109589041096
00-04,2.11,0.8876712328767123
00-04,2.13,0.8849315068493151
00-04,2.14,0.8821917808219178
00-04,2.16,0.8794520547945206
00-04,2.19,0.8767123287671232
00-04,2.2,0.873972602739726
00-04,2.21,0.8712328767123287
00-04,2.27,0.8684931506849315
00-04,2.28,0.8657534246575342
00-04,2.3,0.863013698630137
00-04,2.37,0.8602739726027397
00-04,2.38,0.8575342465753425
00-04,2.39,0.8547945205479452
00-04,2.4,0.8520547945205479
00-04,2.4,0.8493150684931507
00-04,2.42,0.8465753424657534
00-04,2.44,0.8438356164383561
00-04,2.44,0.8410958904109589
00-04,2.46,0.8383561643835616
00-04,2.47,0.8356164383561644
00-04,2.48,0.8328767123287671
00-04,2.49,0.8301369863013699
00-04,2.5,0.8273972602739725
00-04,2.52,0.8246575342465754
00-04,2.53,0.821917808219178
00-04,2.54,0.8191780821917808
00-04,2.55,0.8164383561643835
00-04,2.59,0.8136986301369863
00-04,2.6,0.810958904109589
00-04,2.6,0.8082191780821918
00-04,2.6,0.8054794520547945
00-04,2.64,0.8027397260273973
00-04,2.65,0.8
00-04,2.67,0.7972602739726027
00-04,2.7,0.7945205479452055
00-04,2.72,0.7917808219178082
00-04,2.72,0.7890410958904109
00-04,2.76,0.7863013698630137
00-04,2.78,0.7835616438356164
00-04,2.78,0.7808219178082192
00-04,2.81,0.7780821917808219
00-04,2.82,0.7753424657534247
00-04,2.84,0.7726027397260273
00-04,2.88,0.7698630136986302
00-04,2.9,0.7671232876712328
00-04,2.9,0.7643835616438356
00-04,2.92,0.7616438356164383
00-04,2.93,0.7589041095890411
00-04,2.93,0.7561643835616438
00-04,2.97,0.7534246575342466
00-04,2.98,0.7506849315068493
00-04,3.0,0.747945205479452
00-04,3.0,0.7452054794520548
00-04,3.0,0.7424657534246575
00-04,3.0,0.7397260273972603
00-04,3.0,0.736986301369863
00-04,3.0,0.7342465753424657
00-04,3.0,0.7315068493150685
00-04,3.0,0.7287671232876712
00-04,3.02,0.726027397260274
00-04,3.02,0.7232876712328767
00-04,3.02,0.7205479452054795
00-04,3.07,0.7178082191780821
00-04,3.07,0.715068493150685
00-04,3.12,0.7123287671232876
00-04,3.15,0.7095890410958905
00-04,3.17,0.7068493150684931
00-04,3.19,0.7041095890410959
00-04,3.23,0.7013698630136986
00-04,3.24,0.6986301369863014
00-04,3.26,0.6958904109589041
00-04,3.3,0.6931506849315068
00-04,3.31,0.6904109589041096
00-04,3.33,0.6876712328767123
00-04,3.34,0.6849315068493151
00-04,3.34,0.6821917808219178
00-04,3.43,0.6794520547945205
00-04,3.44,0.6767123287671233
00-04,3.45,0.673972602739726
00-04,3.47,0.6712328767123288
00-04,3.47,0.6684931506849314
00-04,3.47,0.6657534246575343
00-04,3.48,0.6630136986301369
00-04,3.48,0.6602739726027398
00-04,3.5,0.6575342465753424
00-04,3.5,0.6547945205479452
00-04,3.51,0.6520547945205479
00-04,3.53,0.6493150684931507
00-04,3.55,0.6465753424657534
00-04,3.56,0.6438356164383562
00-04,3.57,0.6410958904109589
00-04,3.57,0.6383561643835616
00-04,3.6,0.6356164383561644
00-04,3.6,0.6328767123287671
00-04,3.68,0.6301369863013699
00-04,3.71,0.6273972602739726
00-04,3.77,0.6246575342465753
00-04,3.78,0.6219178082191781
00-04,3.78,0.6191780821917808
00-04,3.8,0.6164383561643836
00-04,3.8,0.6136986301369862
00-04,3.81,0.6109589041095891
00-04,3.81,0.6082191780821917
00-04,3.84,0.6054794520547946
00-04,3.85,0.6027397260273972
00-04,3.9,0.6
00-04,3.93,0.5972602739726027
00-04,4.0,0.5945205479452055
00-04,4.0,0.5917808219178082
00-04,4.0,0.589041095890411
00-04,4.0,0.5863013698630137
00-04,4.06,0.5835616438356164
00-04,4.09,0.5808219178082192
00-04,4.12,0.5780821917808219
00-04,4.19,0.5753424657534247
00-04,4.19,0.5726027397260274
00-04,4.23,0.5698630136986301
00-04,4.3,0.5671232876712329
00-04,4.36,0.5643835616438356
00-04,4.39,0.5616438356164384
00-04,4.4,0.558904109589041
00-04,4.41,0.5561643835616439
00-04,4.42,0.5534246575342465
00-04,4.42,0.5506849315068494
00-04,4.47,0.547945205479452
00-04,4.47,0.5452054794520548
00-04,4.5,0.5424657534246575
00-04,4.55,0.5397260273972603
00-04,4.6,0.536986301369863
00-04,4.65,0.5342465753424658
00-04,4.73,0.5315068493150685
00-04,4.78,0.5287671232876712
00-04,4.81,0.526027397260274
00-04,4.82,0.5232876712328767
00-04,4.88,0.5205479452054795
00-04,4.91,0.5178082191780822
00-04,5.0,0.5150684931506849
00-04,5.0,0.5123287671232877
00-04,5.0,0.5095890410958904
00-04,5.1,0.5068493150684932
00-04,5.15,0.5041095890410958
00-04,5.19,0.5013698630136987
00-04,5.28,0.4986301369863013
00-04,5.39,0.49589041095890407
00-04,5.46,0.4931506849315068
00-04,5.47,0.4904109589041096
00-04,5.48,0.4876712328767123
00-04,5.5,0.4849315068493151
00-04,5.59,0.4821917808219178
00-04,5.66,0.4794520547945206
00-04,5.7,0.47671232876712333
00-04,5.71,0.4739726027397261
00-04,5.78,0.4712328767123287
00-04,5.8,0.46849315068493147
00-04,5.82,0.4657534246575342
00-04,5.82,0.46301369863013697
00-04,5.9,0.4602739726027397
00-04,5.98,0.4575342465753425
00-04,6.0,0.4547945205479452
00-04,6.11,0.452054794520548
00-04,6.17,0.4493150684931507
00-04,6.19,0.4465753424657535
00-04,6.23,0.4438356164383561
00-04,6.25,0.44109589041095887
00-04,6.26,0.4383561643835616
00-04,6.29,0.43561643835616437
00-04,6.5,0.4328767123287671
00-04,6.53,0.4301369863013699
00-04,6.59,0.4273972602739726
00-04,6.66,0.4246575342465754
00-04,6.66,0.4219178082191781
00-04,6.83,0.4191780821917809
00-04,6.91,0.4164383561643835
00-04,7.0,0.41369863013698627
00-04,7.0,0.410958904109589
00-04,7.0,0.40821917808219177
00-04,7.0,0.4054794520547945
00-04,7.05,0.40273972602739727
00-04,7.07,0.4
00-04,7.19,0.3972602739726028
00-04,7.2,0.3945205479452055
00-04,7.29,0.39178082191780816
00-04,7.3,0.3890410958904109
00-04,7.37,0.38630136986301367
00-04,7.39,0.3835616438356164
00-04,7.68,0.38082191780821917
00-04,7.8,0.3780821917808219
00-04,7.84,0.37534246575342467
00-04,7.89,0.3726027397260274
00-04,7.94,0.36986301369863017
00-04,7.98,0.3671232876712329
00-04,8.0,0.36438356164383556
00-04,8.0,0.3616438356164383
00-04,8.06,0.35890410958904106
00-04,8.23,0.3561643835616438
00-04,8.25,0.35342465753424657
00-04,8.47,0.3506849315068493
00-04,8.86,0.34794520547945207
00-04,8.97,0.3452054794520548
00-04,9.0,0.34246575342465757
00-04,9.06,0.3397260273972603
00-04,9.09,0.33698630136986296
00-04,9.12,0.3342465753424657
00-04,9.27,0.33150684931506846
00-04,9.39,0.3287671232876712
00-04,9.57,0.32602739726027397
00-04,9.64,0.3232876712328767
00-04,10.0,0.32054794520547947
00-04,10.31,0.3178082191780822
00-04,10.81,0.31506849315068497
00-04,10.9,0.3123287671232877
00-04,10.92,0.30958904109589036
00-04,11.22,0.3068493150684931
00-04,11.47,0.30410958904109586
00-04,11.53,0.3013698630136986
00-04,11.76,0.29863013698630136
00-04,12.0,0.2958904109589041
00-04,12.0,0.29315068493150687
00-04,12.06,0.2904109589041096
00-04,12.13,0.28767123287671237
00-04,12.14,0.2849315068493151
00-04,12.17,0.28219178082191776
00-04,12.34,0.2794520547945205
00-04,12.47,0.27671232876712326
00-04,12.5,0.273972602739726
00-04,12.95,0.27123287671232876
00-04,13.02,0.2684931506849315
00-04,13.03,0.26575342465753427
00-04,13.04,0.263013698630137
00-04,13.07,0.26027397260273977
00-04,13.07,0.2575342465753425
00-04,13.13,0.25479452054794516
00-04,13.27,0.2520547945205479
00-04,13.57,0.24931506849315066
00-04,13.59,0.2465753424657534
00-04,13.69,0.24383561643835616
00-04,14.0,0.2410958904109589
00-04,14.04,0.23835616438356166
00-04,14.68,0.23561643835616441
00-04,15.0,0.23287671232876717
00-04,15.0,0.23013698630136992
00-04,15.0,0.22739726027397256
00-04,15.0,0.2246575342465753
00-04,15.45,0.22191780821917806
00-04,15.46,0.2191780821917808
00-04,16.12,0.21643835616438356
00-04,16.43,0.2136986301369863
00-04,19.69,0.21095890410958906
00-04,19.8,0.2082191780821918
00-04,19.93,0.20547945205479456
00-04,19.93,0.20273972602739732
00-04,20.0,0.19999999999999996
00-04,20.15,0.1972602739726027
00-04,20.84,0.19452054794520546
00-04,20.87,0.1917808219178082
00-04,22.0,0.18904109589041096
00-04,22.1,0.1863013698630137
00-04,23.49,0.18356164383561646
00-04,23.85,0.1808219178082192
00-04,24.61,0.17808219178082196
00-04,25.0,0.1753424657534246
00-04,25.3,0.17260273972602735
00-04,26.05,0.1698630136986301
00-04,26.93,0.16712328767123286
00-04,27.67,0.1643835616438356
00-04,28.65,0.16164383561643836
00-04,28.75,0.1589041095890411
00-04,28.76,0.15616438356164386
00-04,28.85,0.1534246575342466
00-04,30.7,0.15068493150684936
00-04,31.25,0.147945205479452
00-04,31.49,0.14520547945205475
00-04,31.58,0.1424657534246575
00-04,32.96,0.13972602739726026
00-04,33.15,0.136986301369863
00-04,33.34,0.13424657534246576
00-04,33.88,0.1315068493150685
00-04,34.1,0.12876712328767126
00-04,35.05,0.126027397260274
00-04,35.84,0.12328767123287676
00-04,37.26,0.1205479452054794
00-04,38.99,0.11780821917808215
00-04,39.12,0.1150684931506849
00-04,39.85,0.11232876712328765
00-04,39.87,0.1095890410958904
00-04,40.0,0.10684931506849316
00-04,40.0,0.1041095890410959
00-04,40.93,0.10136986301369866
00-04,42.69,0.09863013698630141
00-04,43.01,0.09589041095890416
00-04,44.0,0.0931506849315068
00-04,45.0,0.09041095890410955
00-04,45.35,0.0876712328767123
00-04,46.54,0.08493150684931505
00-04,46.74,0.0821917808219178
00-04,46.84,0.07945205479452055
00-04,48.15,0.0767123287671233
00-04,48.75,0.07397260273972606
00-04,49.87,0.07123287671232881
00-04,50.0,0.06849315068493156
00-04,50.31,0.0657534246575342
00-04,50.65,0.06301369863013695
00-04,51.0,0.0602739726027397
00-04,51.49,0.05753424657534245
00-04,53.0,0.0547945205479452
00-04,53.88,0.05205479452054795
00-04,58.19,0.049315068493150704
00-04,61.22,0.046575342465753455
00-04,70.45,0.043835616438356206
00-04,71.37,0.04109589041095896
00-04,100.0,0.0383561643835616
00-04,101.84,0.03561643835616435
00-04,102.8,0.0328767123287671
00-04,140.09,0.03013698630136985
00-04,147.24,0.0273972602739726
00-04,150.0,0.024657534246575352
00-04,165.17,0.021917808219178103
00-04,195.76,0.019178082191780854
00-04,200.0,0.016438356164383605
00-04,200.0,0.013698630136986356
00-04,202.78,0.010958904109588996
00-04,400.0,0.008219178082191747
00-04,420.0,0.005479452054794498
00-04,500.0,0.002739726027397249
00-04,500.0,0.0
04-08,0.71,0.9972451790633609
04-08,0.73,0.9944903581267217
04-08,0.79,0.9917355371900827
04-08,0.83,0.9889807162534435
04-08,0.86,0.9862258953168044
04-08,0.97,0.9834710743801653
04-08,1.0,0.9807162534435262
04-08,1.07,0.977961432506887
04-08,1.07,0.9752066115702479
04-08,1.2,0.9724517906336088
04-08,1.28,0.9696969696969697
04-08,1.43,0.9669421487603306
04-08,1.5,0.9641873278236914
04-08,1.5,0.9614325068870524
04-08,1.58,0.9586776859504132
04-08,1.67,0.9559228650137741
04-08,1.7,0.953168044077135
04-08,1.71,0.9504132231404958
04-08,1.71,0.9476584022038568
04-08,1.73,0.9449035812672176
04-08,1.77,0.9421487603305785
04-08,1.78,0.9393939393939394
04-08,1.79,0.9366391184573003
04-08,1.8,0.9338842975206612
04-08,1.81,0.931129476584022
04-08,1.83,0.9283746556473829
04-08,1.85,0.9256198347107438
04-08,1.86,0.9228650137741047
04-08,1.87,0.9201101928374655
04-08,1.9,0.9173553719008265
04-08,1.9,0.9146005509641874
04-08,1.9,0.9118457300275482
04-08,1.9,0.9090909090909091
04-08,1.91,0.9063360881542699
04-08,1.91,0.9035812672176309
04-08,1.93,0.9008264462809917
04-08,1.95,0.8980716253443526
04-08,1.96,0.8953168044077136
04-08,1.99,0.8925619834710744
04-08,2.0,0.8898071625344353
04-08,2.0,0.8870523415977961
04-08,2.0,0.884297520661157
04-08,2.0,0.8815426997245179
04-08,2.0,0.8787878787878788
04-08,2.05,0.8760330578512396
04-08,2.06,0.8732782369146006
04-08,2.06,0.8705234159779615
04-08,2.07,0.8677685950413223
04-08,2.08,0.8650137741046832
04-08,2.09,0.862258953168044
04-08,2.14,0.859504132231405
04-08,2.17,0.8567493112947658
04-08,2.18,0.8539944903581267
04-08,2.18,0.8512396694214877
04-08,2.2,0.8484848484848485
04-08,2.2,0.8457300275482094
04-08,2.2,0.8429752066115702
04-08,2.23,0.8402203856749311
04-08,2.24,0.837465564738292
04-08,2.27,0.8347107438016529
04-08,2.33,0.8319559228650137
04-08,2.36,0.8292011019283747
04-08,2.4,0.8264462809917356
04-08,2.44,0.8236914600550964
04-08,2.45,0.8209366391184573
04-08,2.47,0.8181818181818181
04-08,2.47,0.8154269972451791
04-08,2.49,0.8126721763085399
04-08,2.5,0.8099173553719008
04-08,2.5,0.8071625344352618
04-08,2.57,0.8044077134986226
04-08,2.57,0.8016528925619835
04-08,2.59,0.7988980716253443
04-08,2.59,0.7961432506887052
04-08,2.59,0.7933884297520661
04-08,2.6,0.790633608815427
04-08,2.62,0.7878787878787878
04-08,2.62,0.7851239669421488
04-08,2.69,0.7823691460055097
04-08,2.71,0.7796143250688705
04-08,2.72,0.7768595041322314
04-08,2.72,0.7741046831955922
04-08,2.75,0.7713498622589532
04-08,2.79,0.768595041322314
04-08,2.8,0.7658402203856749
04-08,2.81,0.7630853994490359
04-08,2.86,0.7603305785123967
04-08,2.87,0.7575757575757576
04-08,2.88,0.7548209366391184
04-08,2.89,0.7520661157024793
04-08,2.9,0.7493112947658402
04-08,2.9,0.7465564738292011
04-08,2.9,0.743801652892562
04-08,3.0,0.7410468319559229
04-08,3.0,0.7382920110192838
04-08,3.0,0.7355371900826446
04-08,3.0,0.7327823691460056
04-08,3.0,0.7300275482093663
04-08,3.0,0.7272727272727273
04-08,3.0,0.7245179063360881
04-08,3.0,0.721763085399449
04-08,3.0,0.71900826446281
04-08,3.02,0.7162534435261708
04-08,3.02,0.7134986225895317
04-08,3.05,0.7107438016528926
04-08,3.05,0.7079889807162534
04-08,3.06,0.7052341597796143
04-08,3.06,0.7024793388429752
04-08,3.08,0.699724517906336
04-08,3.13,0.696969696969697
04-08,3.17,0.6942148760330579
04-08,3.21,0.6914600550964187
04-08,3.22,0.6887052341597797
04-08,3.28,0.6859504132231404
04-08,3.31,0.6831955922865014
04-08,3.31,0.6804407713498623
04-08,3.35,0.6776859504132231
04-08,3.36,0.6749311294765841
04-08,3.39,0.6721763085399449
04-08,3.44,0.6694214876033058
04-08,3.44,0.6666666666666667
04-08,3.45,0.6639118457300275
04-08,3.47,0.6611570247933884
04-08,3.47,0.6584022038567493
04-08,3.47,0.6556473829201102
04-08,3.5,0.6528925619834711
04-08,3.5,0.650137741046832
04-08,3.5,0.6473829201101928
04-08,3.51,0.6446280991735538
04-08,3.52,0.6418732782369145
04-08,3.52,0.6391184573002755
04-08,3.53,0.6363636363636364
04-08,3.54,0.6336088154269972
04-08,3.55,0.6308539944903582
04-08,3.55,0.628099173553719
04-08,3.56,0.6253443526170799
04-08,3.57,0.6225895316804408
04-08,3.57,0.6198347107438016
04-08,3.58,0.6170798898071626
04-08,3.59,0.6143250688705234
04-08,3.6,0.6115702479338843
04-08,3.61,0.6088154269972452
04-08,3.66,0.6060606060606061
04-08,3.68,0.6033057851239669
04-08,3.68,0.6005509641873279
04-08,3.7,0.5977961432506886
04-08,3.72,0.5950413223140496
04-08,3.77,0.5922865013774105
04-08,3.81,0.5895316804407713
04-08,3.82,0.5867768595041323
04-08,3.84,0.5840220385674931
04-08,3.84,0.581267217630854
04-08,3.85,0.578512396694215
04-08,3.86,0.5757575757575757
04-08,3.87,0.5730027548209367
04-08,3.9,0.5702479338842975
04-08,3.92,0.5674931129476584
04-08,3.93,0.5647382920110193
04-08,4.0,0.5619834710743802
04-08,4.0,0.559228650137741
04-08,4.01,0.556473829201102
04-08,4.12,0.5537190082644627
04-08,4.12,0.5509641873278237
04-08,4.17,0.5482093663911846
04-08,4.19,0.5454545454545454
04-08,4.2,0.5426997245179064
04-08,4.22,0.5399449035812672
04-08,4.28,0.5371900826446281
04-08,4.3,0.534435261707989
04-08,4.3,0.5316804407713498
04-08,4.38,0.5289256198347108
04-08,4.4,0.5261707988980716
04-08,4.41,0.5234159779614325
04-08,4.44,0.5206611570247934
04-08,4.45,0.5179063360881543
04-08,4.46,0.5151515151515151
04-08,4.5,0.5123966942148761
04-08,4.51,0.5096418732782368
04-08,4.59,0.5068870523415978
04-08,4.6,0.5041322314049587
04-08,4.61,0.5013774104683195
04-08,4.65,0.4986225895316805
04-08,4.68,0.49586776859504134
04-08,4.69,0.4931129476584022
04-08,4.7,0.49035812672176304
04-08,4.8,0.487603305785124
04-08,4.85,0.48484848484848486
04-08,4.87,0.4820936639118457
04-08,4.91,0.47933884297520657
04-08,4.98,0.47658402203856753
04-08,5.0,0.4738292011019284
04-08,5.0,0.47107438016528924
04-08,5.0,0.4683195592286501
04-08,5.0,0.46556473829201106
04-08,5.0,0.4628099173553719
04-08,5.03,0.46005509641873277
04-08,5.19,0.4573002754820936
04-08,5.28,0.4545454545454546
04-08,5.33,0.45179063360881544
04-08,5.37,0.4490358126721763
04-08,5.38,0.44628099173553715
04-08,5.5,0.4435261707988981
04-08,5.5,0.44077134986225897
04-08,5.5,0.4380165289256198
04-08,5.5,0.4352617079889807
04-08,5.51,0.43250688705234164
04-08,5.59,0.4297520661157025
04-08,5.62,0.42699724517906334
04-08,5.62,0.4242424242424242
04-08,5.73,0.42148760330578516
04-08,5.79,0.418732782369146
04-08,5.9,0.41597796143250687
04-08,5.93,0.4132231404958677
04-08,6.0,0.4104683195592287
04-08,6.0,0.40771349862258954
04-08,6.0,0.4049586776859504
04-08,6.01,0.40220385674931125
04-08,6.02,0.3994490358126722
04-08,6.16,0.39669421487603307
04-08,6.2,0.3939393939393939
04-08,6.31,0.3911845730027548
04-08,6.33,0.38842975206611574
04-08,6.38,0.3856749311294766
04-08,6.42,0.38292011019283745
04-08,6.44,0.3801652892561983
04-08,6.47,0.37741046831955927
04-08,6.54,0.3746556473829201
04-08,6.71,0.371900826446281
04-08,6.73,0.36914600550964183
04-08,6.73,0.3663911845730028
04-08,6.74,0.36363636363636365
04-08,7.0,0.3608815426997245
04-08,7.0,0.35812672176308535
04-08,7.0,0.3553719008264463
04-08,7.15,0.3526170798898072
04-08,7.21,0.349862258953168
04-08,7.26,0.3471074380165289
04-08,7.28,0.34435261707988984
04-08,7.35,0.3415977961432507
04-08,7.56,0.33884297520661155
04-08,7.63,0.3360881542699724
04-08,7.86,0.33333333333333337
04-08,8.0,0.3305785123966942
04-08,8.0,0.3278236914600551
04-08,8.03,0.32506887052341593
04-08,8.07,0.3223140495867769
04-08,8.1,0.31955922865013775
04-08,8.16,0.3168044077134986
04-08,8.28,0.31404958677685946
04-08,8.43,0.3112947658402204
04-08,8.5,0.3085399449035813
04-08,8.5,0.30578512396694213
04-08,8.5,0.303030303030303
04-08,8.55,0.30027548209366395
04-08,8.56,0.2975206611570248
04-08,8.58,0.29476584022038566
04-08,8.73,0.2920110192837465
04-08,8.75,0.2892561983471075
04-08,8.89,0.2865013774104683
04-08,8.9,0.2837465564738292
04-08,8.93,0.28099173553719003
04-08,8.95,0.278236914600551
04-08,9.05,0.27548209366391185
04-08,9.07,0.2727272727272727
04-08,9.15,0.26997245179063356
04-08,9.19,0.2672176308539945
04-08,9.2,0.2644628099173554
04-08,9.45,0.26170798898071623
04-08,9.46,0.2589531680440771
04-08,9.54,0.25619834710743805
04-08,9.95,0.2534435261707989
04-08,9.95,0.25068870523415976
04-08,10.0,0.2479338842975206
04-08,10.0,0.24517906336088158
04-08,10.0,0.24242424242424243
04-08,10.18,0.23966942148760328
04-08,10.48,0.23691460055096414
04-08,10.49,0.2341597796143251
04-08,10.49,0.23140495867768596
04-08,10.59,0.2286501377410468
04-08,10.62,0.22589531680440766
04-08,10.93,0.22314049586776863
04-08,11.33,0.22038567493112948
04-08,11.43,0.21763085399449034
04-08,11.58,0.2148760330578512
04-08,12.0,0.21212121212121215
04-08,12.13,0.209366391184573
04-08,12.2,0.20661157024793386
04-08,12.22,0.20385674931129472
04-08,12.33,0.20110192837465568
04-08,12.37,0.19834710743801653
04-08,12.92,0.1955922865013774
04-08,13.02,0.19283746556473824
04-08,13.49,0.1900826446280992
04-08,13.57,0.18732782369146006
04-08,13.67,0.18457300275482091
04-08,14.0,0.18181818181818177
04-08,14.0,0.17906336088154273
04-08,14.0,0.1763085399449036
04-08,14.1,0.17355371900826444
04-08,14.28,0.1707988980716253
04-08,14.56,0.16804407713498626
04-08,14.57,0.1652892561983471
04-08,15.0,0.16253443526170797
04-08,15.0,0.15977961432506882
04-08,15.21,0.15702479338842978
04-08,15.23,0.15426997245179064
04-08,15.37,0.1515151515151515
04-08,16.29,0.14876033057851235
04-08,17.0,0.1460055096418733
04-08,17.3,0.14325068870523416
04-08,18.21,0.14049586776859502
04-08,18.95,0.13774104683195587
04-08,18.97,0.13498622589531684
04-08,19.61,0.1322314049586777
04-08,20.0,0.12947658402203854
04-08,20.0,0.1267217630853994
04-08,20.24,0.12396694214876036
04-08,20.49,0.12121212121212122
04-08,20.59,0.11845730027548207
04-08,21.0,0.11570247933884292
04-08,22.51,0.11294765840220389
04-08,24.21,0.11019283746556474
04-08,24.39,0.1074380165289256
04-08,25.0,0.10468319559228645
04-08,25.0,0.10192837465564741
04-08,26.5,0.09917355371900827
04-08,28.58,0.09641873278236912
04-08,30.0,0.09366391184572997
04-08,30.0,0.09090909090909094
04-08,30.96,0.0881542699724518
04-08,31.56,0.08539944903581265
04-08,32.2,0.0826446280991735
04-08,32.97,0.07988980716253447
04-08,33.58,0.07713498622589532
04-08,36.77,0.07438016528925617
04-08,38.66,0.07162534435261703
04-08,46.4,0.06887052341597799
04-08,48.84,0.06611570247933884
04-08,50.0,0.0633608815426997
04-08,50.0,0.06060606060606055
04-08,50.0,0.05785123966942152
04-08,51.0,0.05509641873278237
04-08,52.2,0.052341597796143224
04-08,55.0,0.04958677685950408
04-08,55.6,0.04683195592286504
04-08,61.03,0.0440771349862259
04-08,65.0,0.04132231404958675
04-08,65.01,0.038567493112947604
04-08,78.8,0.03581267217630857
04-08,80.0,0.03305785123966942
04-08,110.0,0.030303030303030276
04-08,115.21,0.02754820936639113
04-08,130.04,0.024793388429752095
04-08,143.9,0.02203856749311295
04-08,150.0,0.019283746556473802
04-08,174.93,0.016528925619834656
04-08,175.0,0.01377410468319562
04-08,200.0,0.011019283746556474
04-08,300.0,0.008264462809917328
04-08,325.0,0.0055096418732781816
